CI_ID,Name,OS,IP_Address,Location,Manufacturer,Model,Status,CPU,RAM,Storage,Owner,Support_Group,Patch_Level,IKT_CI,KRITIS_relevant,CIA_Confidentiality,CIA_Integrity,CIA_Availability,Related_CI_ID,Relation_Type
WIN-SRV-1025,WSRV-426,Windows Server 2022,10.10.1.25,Logistik-Hamburg,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,2,1,1,,
WIN-SRV-1026,WSRV-565,Windows Server 2022,10.10.1.26,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,2,3,2,,
WIN-SRV-1027,WSRV-544,Windows Server 2022,10.10.1.27,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,3,3,1,,
WIN-SRV-1028,WSRV-464,Windows Server 2022,10.10.1.28,Cloud-Region-EU,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,3,2,1,,
WIN-SRV-1029,WSRV-924,Windows Server 2022,10.10.1.29,Hub-Muenchen,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,1,2,1,,
WIN-SRV-1030,WSRV-825,Windows Server 2022,10.10.1.30,Hub-Muenchen,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,2,3,1,,
WIN-SRV-1031,WSRV-892,Windows Server 2022,10.10.1.31,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,1,2,3,,
WIN-SRV-1032,WSRV-399,Windows Server 2022,10.10.1.32,Hub-Muenchen,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,3,2,2,,
WIN-SRV-1033,WSRV-758,Windows Server 2022,10.10.1.33,Hub-Muenchen,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,2,1,1,,
WIN-SRV-1034,WSRV-162,Windows Server 2022,10.10.1.34,Logistik-Hamburg,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,3,2,1,,
WIN-SRV-1035,WSRV-615,Windows Server 2022,10.10.1.35,Logistik-Hamburg,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,1,1,3,,
WIN-SRV-1036,WSRV-808,Windows Server 2022,,Rechenzentrum-Frankfurt-1,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,3,1,3,,
WIN-SRV-1037,WSRV-914,Windows Server 2022,10.10.1.37,Rechenzentrum-Frankfurt-1,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,1,3,1,,
WIN-SRV-1038,WSRV-133,Windows Server 2022,10.10.1.38,Cloud-Region-EU,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,2,2,3,,
WIN-SRV-1039,WSRV-774,Windows Server 2022,10.10.1.39,Rechenzentrum-Frankfurt-1,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,3,2,1,,
WIN-SRV-1040,WSRV-677,Windows Server 2022,10.10.1.40,Office-Berlin,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,1,1,3,,
WIN-SRV-1041,WSRV-806,Windows Server 2022,10.10.1.41,Cloud-Region-EU,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,3,3,3,,
WIN-SRV-1042,WSRV-920,Windows Server 2022,10.10.1.42,Cloud-Region-EU,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,2,3,2,,
WIN-SRV-1043,WSRV-445,Windows Server 2022,10.10.1.43,Office-Berlin,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,1,1,3,,
WIN-SRV-1044,WSRV-721,Windows Server 2022,10.10.1.44,Office-Berlin,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,3,3,2,,
WIN-SRV-1045,WSRV-637,Windows Server 2022,10.10.1.45,Hub-Muenchen,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,3,2,1,,
WIN-SRV-1046,WSRV-816,Windows Server 2022,10.10.1.46,Cloud-Region-EU,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Nein,3,2,2,,
WIN-SRV-1047,WSRV-725,Windows Server 2022,10.10.1.47,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Nein,2,1,2,,
WIN-SRV-1048,WSRV-896,Windows Server 2022,,Logistik-Hamburg,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,1,2,2,,
WIN-SRV-1049,WSRV-881,Windows Server 2022,10.10.1.49,Cloud-Region-EU,Dell,PowerEdge R750,Maintenance,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Ja,Ja,3,1,3,,
WIN-SRV-1050,WSRV-285,Windows Server 2022,10.10.1.50,Office-Berlin,Dell,PowerEdge R750,Active,8 Core,32GB,1TB,IT-Ops,Win-Support,2024-03,Nein,Ja,1,1,2,,
